Active,Cured,Date,Deaths,District,State,Total
278,329,2020-07-19,8,Ayodhya,Uttar Pradesh,615
181,389,2020-07-19,26,Mathura,Uttar Pradesh,596
150,288,2020-07-19,10,Azamgarh,Uttar Pradesh,448
127,306,2020-07-19,19,Etawah,Uttar Pradesh,452
161,61,2020-07-19,2,Dahod,Gujarat,224
19,223,2020-07-19,24,Aravalli,Gujarat,266
59,213,2020-07-19,15,Panchmahal,Gujarat,287
105,194,2020-07-19,8,Sabarkantha,Gujarat,307
218,230,2020-07-19,5,Unnao,Uttar Pradesh,453
145,304,2020-07-19,12,Mainpuri,Uttar Pradesh,461
278,180,2020-07-19,5,Chandauli,Uttar Pradesh,463
108,375,2020-07-19,7,Ghazipur,Uttar Pradesh,490
145,348,2020-07-19,6,Bijnor,Uttar Pradesh,499
91,401,2020-07-19,8,Baghpat,Uttar Pradesh,500
246,254,2020-07-19,7,Hardoi,Uttar Pradesh,507
211,293,2020-07-19,7,Sant Kabir Nagar,Uttar Pradesh,511
156,351,2020-07-19,17,Muzaffarnagar,Uttar Pradesh,524
144,466,2020-07-19,4,Saharanpur,Uttar Pradesh,614
451,266,2020-07-19,12,Shivamogga,Karnataka,729
1217,644,2020-07-19,58,Dharwad,Karnataka,1919
118,135,2020-07-19,3,Chamarajanagara,Karnataka,256
498,404,2020-07-19,24,Belagavi,Karnataka,926
381,569,2020-07-19,14,Raichur,Karnataka,964
661,345,2020-07-19,10,Uttara Kannada,Karnataka,1016
561,714,2020-07-19,57,Bidar,Karnataka,1332
506,1575,2020-07-19,8,Udupi,Karnataka,2089
940,1691,2020-07-19,43,Kalaburagi,Karnataka,2674
1,7,2020-07-19,0,Dang,Gujarat,8
22446,6541,2020-07-19,631,Bengaluru Urban,Karnataka,29619
374,742,2020-07-19,18,Rohtak,Haryana,1134
36627,21776,2020-07-19,1245,Karnataka,Karnataka,59652
412,597,2020-07-19,8,Rewari,Haryana,1017
277,547,2020-07-19,8,Ambala,Haryana,832
112,601,2020-07-19,5,Bhiwani,Haryana,718
3,24,2020-07-19,3,Devbhumi Dwarka,Gujarat,30
14,71,2020-07-19,1,Other State,Gujarat,86
879,575,2020-07-19,59,Mysuru,Karnataka,1513
111,134,2020-07-19,7,Chikkamagaluru,Karnataka,252
488,906,2020-07-19,20,Vijayapura,Karnataka,1414
278,540,2020-07-19,24,Hassan,Karnataka,842
140,114,2020-07-19,5,Kodagu,Karnataka,259
107,288,2020-07-19,9,Haveri,Karnataka,404
219,195,2020-07-19,9,Ramanagara,Karnataka,423
444,420,2020-07-19,25,Aligarh,Uttar Pradesh,889
360,537,2020-07-19,38,Moradabad,Uttar Pradesh,935
440,501,2020-07-19,22,Gorakhpur,Uttar Pradesh,963
191,763,2020-07-19,18,Hapur,Uttar Pradesh,972
223,779,2020-07-19,25,Bulandshahr,Uttar Pradesh,1027
142,382,2020-07-19,9,Rampur,Uttar Pradesh,533
153,361,2020-07-19,17,Basti,Uttar Pradesh,531
1095,1203,2020-07-19,57,Ballari,Karnataka,2355
2171,1061,2020-07-19,60,Dakshina Kannada,Karnataka,3294
374,230,2020-07-19,20,Tumakuru,Karnataka,624
117,183,2020-07-19,9,Kutch,Gujarat,309
64,259,2020-07-19,20,Patan,Gujarat,343
278,579,2020-07-19,5,Mandya,Karnataka,862
1882,1219,2020-07-19,26,Virudhunagar,Tamil Nadu,3127
3857,5234,2020-07-19,364,Aurangabad,Maharashtra,9455
1520,2229,2020-07-19,32,Tiruvannamalai,Tamil Nadu,3781
103,307,2020-07-19,1,Bhind,Madhya Pradesh,411
3,58,2020-07-19,0,Panna,Madhya Pradesh,61
23,25,2020-07-19,2,Guna,Madhya Pradesh,50
104,163,2020-07-19,0,Hojai,Assam,267
6,29,2020-07-19,0,Anuppur,Madhya Pradesh,35
21,10,2020-07-19,1,Umaria,Madhya Pradesh,32
1,30,2020-07-19,0,Dindori,Madhya Pradesh,31
12,11,2020-07-19,0,Niwari,Madhya Pradesh,23
19,42,2020-07-19,0,Balaghat,Madhya Pradesh,61
3,18,2020-07-19,1,Seoni,Madhya Pradesh,22
0,0,2020-07-19,0,Other Region,Madhya Pradesh,0
6638,15166,2020-07-19,58,Assam,Assam,21865
5385,4587,2020-07-19,28,Kamrup Metropolitan,Assam,10000
1454,6170,2020-07-19,9,Unknown,Assam,4728
62,553,2020-07-19,1,Golaghat,Assam,616
49,210,2020-07-19,6,Ratlam,Madhya Pradesh,265
157,381,2020-07-19,2,Hailakandi,Assam,540
77,177,2020-07-19,8,Dhar,Madhya Pradesh,262
20,52,2020-07-19,0,Damoh,Madhya Pradesh,72
97,88,2020-07-19,6,Tikamgarh,Madhya Pradesh,191
61,95,2020-07-19,7,Rajgarh,Madhya Pradesh,163
64,88,2020-07-19,1,Betul,Madhya Pradesh,153
56,91,2020-07-19,2,Sheopur,Madhya Pradesh,149
28,108,2020-07-19,5,Raisen,Madhya Pradesh,141
69,66,2020-07-19,1,Rewa,Madhya Pradesh,136
54,74,2020-07-19,0,Vidisha,Madhya Pradesh,128
59,59,2020-07-19,4,Harda,Madhya Pradesh,122
67,158,2020-07-19,4,Barwani,Madhya Pradesh,229
58,55,2020-07-19,1,Datia,Madhya Pradesh,114
61,29,2020-07-19,4,Sehore,Madhya Pradesh,94
25,65,2020-07-19,2,Chhindwara,Madhya Pradesh,92
48,39,2020-07-19,4,Hoshangabad,Madhya Pradesh,91
41,35,2020-07-19,1,Narsinghpur,Madhya Pradesh,77
18,56,2020-07-19,1,Ashoknagar,Madhya Pradesh,75
41,23,2020-07-19,2,Jhabua,Madhya Pradesh,66
